cluster_label,is_noise,n_actors,actor_ratio
0,False,27,0.014203051025775907
1,False,195,0.10257759074171488
2,False,571,0.3003682272488164
3,False,58,0.03051025775907417
4,False,138,0.07259337190952131
5,False,94,0.04944765912677538
-1,True,818,0.43029984218832196
