original_cluster_label,bootstrap_runs,mean_n_sampled,mean_dominant_fraction,median_dominant_fraction,min_dominant_fraction,max_dominant_fraction,mean_bootstrap_noise_fraction,median_bootstrap_noise_fraction
-1,30,656.7333333333333,0.9464089790583183,0.9518680374634656,0.8859784283513097,0.9969183359013868,0.9464089790583183,0.9518680374634656
0,30,21.333333333333332,0.968431488801054,1.0,0.8695652173913043,1.0,0.6649018445322793,1.0
1,30,153.63333333333333,0.9886075949367089,1.0,0.6582278481012658,1.0,0.003586497890295359,0.0
2,30,456.4,0.9811869678052434,0.9922931373262499,0.8913525498891353,1.0,0.018813032194756628,0.0077068626737500905
3,30,45.86666666666667,0.6908793791723462,0.6702898550724637,0.4888888888888889,0.975609756097561,0.30695461938096175,0.31521739130434784
4,30,111.26666666666667,0.9573762240372149,0.9578051559606894,0.897196261682243,0.991304347826087,0.04231224948303442,0.04219484403931064
5,30,75.76666666666667,0.9889163436697787,0.987260629665693,0.9594594594594594,1.0,0.008876337900680719,0.0125
